Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,latitude,longitude
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,58.595272,25.013607
56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,18.109581,-77.297508
57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,-20.348404,57.552152
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,36.204824,138.252924
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,15.199999,-86.241905
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,48.019573,66.923684
61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,-16.290154,-63.588653
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,47.162494,19.503304
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,-23.442503,-58.443832
64,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,35.126413,33.429859
65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,-9.189967,-75.015152
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,39.399872,-8.224454
67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,30.375321,69.345116
68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,61.52401,105.318756
69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,12.879721,121.774017
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,44.016521,21.005859
71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0,47.411631,28.369885
72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,26.3351,17.228331
73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,42.708678,19.37439
74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,38.861034,71.276093
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,45.1,15.2
76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287,22.396428,114.109497
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,18.735693,-70.162651
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,43.915886,17.679076
79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,38.963745,35.243322
80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,4.210484,101.975766
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,53.709807,27.953389
82,Greece,5.287,1.181,1.156,0.999,0.067,0,0.034,39.074208,21.824312
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,46.862496,103.846656
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,41.608635,21.745275
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,9.081999,8.675277
86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,41.20438,74.766098
87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,38.969719,59.556278
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,28.033886,1.659626
89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,31.791702,-7.09262
90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,40.143105,47.576927
91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,33.854721,35.862285
92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,-0.789275,113.921327
93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,35.86166,104.195397
94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,14.058324,108.277199
95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,27.514162,90.433601
96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,7.369722,12.354722
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,42.733883,25.48583
98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,7.946527,-1.023194
99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,7.5987554,-5.5525746
100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,28.394857,84.124008
101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,30.585164,36.238414
102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,9.30769,2.315834
103,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,-0.228021,15.827659
104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,-0.803689,11.609444
105,Laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,19.85627,102.495496
106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,-30.559482,22.937506
107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,41.153332,20.168331
108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,6.42375,-66.58973
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,12.565679,104.990963
110,Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,31.952162,35.233154
111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,14.497401,-14.452362
112,Somalia,4.668,0,0.698,0.268,0.559,0.243,0.27,5.152149,46.199616
113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,-22.95764,18.49041
114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,17.607789,8.081666
115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,12.238333,-1.561593
116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,40.069099,45.038189
117,Iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,32.427908,53.688046
118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,11.803749,-15.180413
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,42.315407,43.356892
120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,13.443182,-15.310139
121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,-0.023559,37.906193
122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,21.00789,-10.940835
123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,-18.665695,35.529562
124,Tunisia,4.461,0.921,1,0.815,0.167,0.059,0.055,33.886917,9.537499
125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,23.684994,90.356331
126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,33.223191,43.679291
127,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053,-0.228021,15.827659
128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,17.570692,-3.996166
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,8.460555,-11.779889
130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,7.873054,80.771797
131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,21.913965,95.956223
132,Chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,15.454166,18.732207
133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,48.379433,31.16558
134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,9.145,40.489673
135,Swaziland,4.212,0.811,1.149,0,0.313,0.074,0.135,-26.522503,31.465866
136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,1.373333,32.290275
137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,26.820553,30.802498
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,-13.133897,27.849332
139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,8.619543,0.824782
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,20.593684,78.96288
141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,6.428055,-9.429499
142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,-11.875001,43.872219
143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,-18.766947,46.869107
144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,-29.609988,28.233608
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,-3.373056,29.918886
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,-19.015438,29.154857
147,Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,18.971187,-72.285215
148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,-22.328474,24.684866
149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,34.802075,38.996815
150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,-13.254308,34.301525
151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,15.552727,48.516388
152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,-1.940278,29.873888
153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,-6.369028,34.888822
154,Afghanistan,3.203,0.35,0.517,0.361,0,0.158,0.025,33.93911,67.709953
155,Central African Republic,3.083,0.026,0,0.105,0.225,0.235,0.035,6.611111,20.939444
156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,12.862807,30.217636
